HMDB_ID	C: 4_x-y_0	C: 6_x-y_0	C: 8_x-y_0	C: 24_x-y_0
HMDB0000122	2.5	1.8	3.1	-0.5
HMDB0000243	-2.3	-1.2	-2.8	0.6
HMDB0001400	1.8	2.2	0.9	-1.1
HMDB0000208	2.9	3.3	2.4	1.7
HMDB0000190	-2.6	-2.1	-3	-0.8
HMDB0000123	0.7	1	-0.4	0.3
HMDB0000257	3.2	2.7	3.5	2.1
HMDB0000087	-2.1	-2.4	-1.9	-2.6
HMDB0000247	1.1	0.5	1.6	-0.2
HMDB0000182	2.4	2	2.8	1.3
HMDB0000211	-1.5	-0.9	-2.2	-1
HMDB0000226	2.7	3	2.1	2.5
HMDB0000248	-2.8	-3.1	-2.5	-2
HMDB0000251	1.3	1.6	0.8	0.9
HMDB0000275	2.2	2.4	1.9	1.5
HMDB0000134	2.6	2.9	2.2	1.8
HMDB0000289	-2.4	-2.7	-2.1	-1.9
HMDB0000294	1.5	1.9	2.3	0.7
HMDB0000300	-2.9	-3.2	-2.6	-2.1
HMDB0000316	2.8	3.1	2.5	2.2
HMDB0000321	-1.2	-1.5	-2.3	-0.6
HMDB0000338	2.3	2.7	1.8	1.9
HMDB0000094	3.4	3	2.9	2.6
HMDB0000101	-2.7	-2.3	-3.1	-2.4
HMDB0000110	2.1	2.5	1.7	1.2
HMDB0000112	-2.2	-2.8	-2	-2.5
HMDB0000133	2.9	3.2	2.6	2.8
HMDB0000167	-2.5	-2.1	-2.9	-1.7
HMDB0000199	1.6	1.3	2	0.8
HMDB0000200	-2.8	-3	-2.4	-2.2
HMDB0000210	2.7	2.9	3.3	2.4
HMDB0000239	-1.9	-2.2	-1.5	-1.8
HMDB0000244	2.5	2.1	2.8	1.6
HMDB0000260	-2.6	-2.4	-2.7	-2.3
HMDB0000267	1.4	1.8	1.2	0.9
HMDB0000270	2.2	2.6	2	1.7
HMDB0000277	-2.3	-2.9	-2.1	-2
